ax,ay,az,qw,qx,qy,qz,u_prev,v_prev,w_prev,u,v,w
-0.0076975,0.0164987,-9.8135,0.360937,-0.00103124,-0.0010744301,0.932589,0.23334,-0.0116861,4.16523e-07,0.233336,-0.0116924,4.1335e-07
0.0201164,0.00864815,-9.80634,0.3606081,-0.0010329903,-0.0010739603,0.93271625,0.233336,-0.0116924,4.1335e-07,0.233333,-0.0116988,4.1065e-07
0.00530707,0.0135116,-9.8108,0.3602821,-0.0010302502,-0.0010664903,0.93284225,0.233333,-0.0116988,4.1065e-07,0.23333,-0.0117052,4.08442e-07
-0.00113279,0.0110613,-9.80609,0.3599569,-0.0010252397,-0.0010710397,0.9329678,0.23333,-0.0117052,4.08442e-07,0.233326,-0.0117116,4.06733e-07
0.0198951,0.0330737,-9.80271,0.35962993,-0.0010269898,-0.0010675298,0.93309385,0.233326,-0.0117116,4.06733e-07,0.233323,-0.011718,4.05545e-07
0.0011007,0.0199948,-9.80925,0.35930794,-0.0010257498,-0.0010715198,0.9332179,0.233323,-0.011718,4.05545e-07,0.23332,-0.0117245,4.04906e-07
0.013976,0.0427458,-9.82814,0.3589809,-0.0010195697,-0.0010697898,0.9333437,0.23332,-0.0117245,4.04906e-07,0.233317,-0.011731,4.04853e-07
-0.013619,0.0236616,-9.80622,0.35865587,-0.0010188797,-0.0010669696,0.9334687,0.233317,-0.011731,4.04853e-07,0.233314,-0.0117375,4.05424e-07
0.00365142,0.0303463,-9.81368,0.35832906,-0.0010159202,-0.0010707002,0.93359417,0.233314,-0.0117375,4.05424e-07,0.23331,-0.011744,4.06654e-07
-0.0134722,0.0492083,-9.82761,0.35799807,-0.0010140202,-0.0010700201,0.9337212,0.23331,-0.011744,4.06654e-07,0.233307,-0.0117505,4.08574e-07
-0.00579898,0.0185859,-9.82503,0.35761914,-0.0010254903,-0.0010834003,0.9338663,0.233307,-0.0117505,4.08574e-07,0.233304,-0.011757,4.11208e-07
-0.00988414,0.0247726,-9.80262,0.35729513,-0.0010301403,-0.0010849804,0.93399036,0.233304,-0.011757,4.11208e-07,0.233301,-0.0117635,4.14569e-07
0.0137859,0.0293136,-9.80258,0.35696694,-0.0010255498,-0.0010807198,0.9341158,0.233301,-0.0117635,4.14569e-07,0.233298,-0.01177,4.18728e-07
-0.00670623,0.0215821,-9.82112,0.35664198,-0.00102149,-0.0010818,0.9342399,0.233298,-0.01177,4.18728e-07,0.233295,-0.0117764,4.23738e-07
-0.0113819,0.0186255,-9.80078,0.35631993,-0.0010164399,-0.0010708098,0.9343628,0.233295,-0.0117764,4.23738e-07,0.233292,-0.0117828,4.29644e-07
0.0241851,0.00786844,-9.80521,0.3559961,-0.0010170303,-0.0010706303,0.93448627,0.233292,-0.0117828,4.29644e-07,0.233289,-0.0117891,4.36476e-07
0.00442022,0.0260772,-9.80299,0.35566598,-0.00101606,-0.00107166,0.934612,0.233289,-0.0117891,4.36476e-07,0.233286,-0.0117953,4.44243e-07
-0.000612313,0.00424633,-9.80476,0.35534087,-0.0010167996,-0.0010762196,0.9347356,0.233286,-0.0117953,4.44243e-07,0.233283,-0.0118015,4.52932e-07
0.00749633,0.0239322,-9.80303,0.35501394,-0.0010135998,-0.0010742698,0.9348598,0.233283,-0.0118015,4.52932e-07,0.23328,-0.0118076,4.62504e-07
-0.00768711,0.00390223,-9.82262,0.35468698,-0.0010121999,-0.0010696499,0.93498397,0.23328,-0.0118076,4.62504e-07,0.233277,-0.0118136,4.72896e-07
0.000525083,0.0165095,-9.81209,0.3543499,-0.0010156197,-0.0010678797,0.93511176,0.233277,-0.0118136,4.72896e-07,0.233274,-0.0118195,4.84018e-07
-0.0113027,0.00128114,-9.8032,0.3540279,-0.0010158597,-0.0010628196,0.9352337,0.233274,-0.0118195,4.84018e-07,0.233271,-0.0118254,4.95759e-07
