ax,ay,az,qw,qx,qy,qz,vE,vN,vD
-0.0179838,-0.00412343,-9.81095,0.937523,0.00221456,-0.00033369,-0.347916,0.18290699,-0.15632626,-0.00021653202
-0.00603799,0.0117232,-9.80542,0.93751675,0.0022124294,-0.0003381579,-0.3479329,0.18290101,-0.15633327,-0.0002141815
-0.0109364,0.00657302,-9.82548,0.9375108,0.0022156294,-0.00034292592,-0.34794894,0.18289533,-0.15633991,-0.00021257871
0.00777288,-0.0157498,-9.80692,0.9375019,0.0022187298,-0.00033937296,-0.34797296,0.18288697,-0.15634967,-0.00021472738
-0.00681453,0.00241635,-9.81011,0.9374956,0.002218649,-0.00034041287,-0.34798986,0.18288101,-0.15635665,-0.0002142657
0.00569698,-0.000887254,-9.80751,0.9374892,0.0022156306,-0.00034458208,-0.34800708,0.18287495,-0.15636376,-0.00021190349
-0.00308072,0.00540457,-9.82701,0.9374819,0.0022101796,-0.00034250796,-0.34802696,0.182868,-0.15637186,-0.00021196088
-0.00618706,0.0125809,-9.80278,0.937474,0.00221413,-0.000341692,-0.348048,0.18286069,-0.15638041,-0.00021301095
-0.00424332,-0.00445355,-9.81053,0.93746436,0.0022122408,-0.00034273413,-0.34807414,0.1828517,-0.15639092,-0.0002122585
0.0100538,-0.0178008,-9.82346,0.93745726,0.0022211606,-0.0003436901,-0.3480931,0.18284512,-0.15639861,-0.00021333048
-0.00511238,0.00932479,-9.79827,0.9374513,0.0022219808,-0.00034639612,-0.34810913,0.18283954,-0.15640514,-0.00021226458
-0.0147282,0.0259516,-9.82641,0.93744427,0.0022159107,-0.0003482101,-0.3481281,0.18283299,-0.1564128,-0.00021046143
0.0162014,-0.0136528,-9.82304,0.9374402,0.0022080406,-0.00035063107,-0.34813908,0.18282911,-0.15641733,-0.00020807612
0.0197102,-0.00474254,-9.80952,0.93743104,0.00218924,-0.000358283,-0.348164,0.18282062,-0.15642726,-0.00020152936
0.00378253,-0.00359187,-9.8131,0.9374243,0.0021824907,-0.0003591091,-0.3481821,0.18281439,-0.15643454,-0.000200058
