time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T07:39:34.573Z,0.321766225,0.0852209069,-9.64025182,-0.0100120863,0.00462144953,0.0301197987
2025-09-22T07:39:34.578Z,0.325499329,0.0841319486,-9.64146804,-0.0101507378,0.00386334325,0.0300366729
2025-09-22T07:39:34.583Z,0.325956234,0.0759322337,-9.65330427,-0.00969990122,0.00328397068,0.0296281129
2025-09-22T07:39:34.588Z,0.319986227,0.0764257809,-9.65819912,-0.0095092236,0.00345535899,0.0296385825
2025-09-22T07:39:34.593Z,0.316438749,0.0746132811,-9.65400009,-0.00994456922,0.0041364297,0.0293242433
2025-09-22T07:39:34.598Z,0.316259221,0.0659764411,-9.65038505,-0.00964533696,0.00419201037,0.0294474374
2025-09-22T07:39:34.603Z,0.310241956,0.0649566102,-9.65442255,-0.00920450173,0.00388093629,0.0292146166
2025-09-22T07:39:34.608Z,0.30860115,0.0762840887,-9.66041814,-0.00912196263,0.0033646265,0.0290194715
2025-09-22T07:39:34.613Z,0.30648793,0.0796252586,-9.65950451,-0.0086427893,0.00234896222,0.0284305244
2025-09-22T07:39:34.618Z,0.309059517,0.071076772,-9.66257357,-0.00841773359,0.00208125046,0.0271954657
2025-09-22T07:39:34.668Z,0.306468264,0.0588660442,-9.71350282,-0.00646274002,0.00088362781,0.0245607097
2025-09-22T07:39:34.673Z,0.296927595,0.0525644016,-9.72195058,-0.00567133452,0.00124181679,0.0242435268
2025-09-22T07:39:34.678Z,0.293153263,0.0553498062,-9.73958359,-0.00470495829,0.000652999157,0.0244498525
2025-09-22T07:39:34.683Z,0.302339924,0.0518537251,-9.74705341,-0.00442893609,0.000404441769,0.0242255912
2025-09-22T07:39:34.688Z,0.310505515,0.0396585489,-9.74095111,-0.00429398012,-0.000178951333,0.0243765938
2025-09-22T07:39:34.693Z,0.309543991,0.0351603041,-9.74241583,-0.00417960716,4.92363793e-06,0.0240543888
2025-09-22T07:39:34.698Z,0.308214389,0.0514675919,-9.75415193,-0.00476133303,-0.000642592369,0.0239942636
2025-09-22T07:39:34.703Z,0.298651382,0.0599768895,-9.75440774,-0.00491118863,-0.00127109775,0.0227191109
2025-09-22T07:39:34.708Z,0.297112056,0.0559407119,-9.74768198,-0.00375227185,-0.0012418399,0.0222846639
2025-09-22T07:39:34.713Z,0.304105738,0.0561087108,-9.75653686,-0.00312825609,-0.000949437448,0.0224339892
2025-09-22T07:39:34.718Z,0.309876003,0.0602138331,-9.76546921,-0.00228195799,-0.0010429755,0.0226239794
2025-09-22T07:39:34.723Z,0.30792566,0.0545843691,-9.75653394,-0.00194349364,-0.00137188415,0.0225796314
2025-09-22T07:39:34.728Z,0.31127737,0.0509341648,-9.75325292,-0.00217326131,-0.00153308755,0.0228074844
2025-09-22T07:39:34.733Z,0.314424063,0.0544672935,-9.76433485,-0.00268282649,-0.00222618693,0.022880803
2025-09-22T07:39:34.738Z,0.308193604,0.0640944028,-9.76703407,-0.00250391004,-0.00258186619,0.0223567905
2025-09-22T07:39:34.743Z,0.301555598,0.0682857887,-9.76091716,-0.00259568838,-0.00214748559,0.0219262321
2025-09-22T07:39:34.748Z,0.304469704,0.0736019755,-9.764291,-0.00271969189,-0.00222761268,0.0214759794
2025-09-22T07:39:34.753Z,0.309007828,0.0730422245,-9.7724369,-0.00150946547,-0.00320504148,0.0210206503
2025-09-22T07:39:34.758Z,0.305910266,0.0699584578,-9.77000227,-0.00087062004,-0.0034581691,0.0207971542
2025-09-22T07:39:34.763Z,0.305113903,0.0622586455,-9.765152,-0.00123707779,-0.00286525772,0.0211326254
2025-09-22T07:39:34.768Z,0.300328573,0.0627333949,-9.772108,-0.00114778409,-0.00280406485,0.0219855266
2025-09-22T07:39:34.773Z,0.297923449,0.0692413802,-9.78449752,-0.000382664246,-0.00319574247,0.021765201
2025-09-22T07:39:34.778Z,0.299842638,0.0734022737,-9.78560483,-7.52536704e-05,-0.00342433384,0.0211916086
2025-09-22T07:39:34.783Z,0.304291387,0.0767813819,-9.78419711,0.000254424344,-0.00436127948,0.0214028378
2025-09-22T07:39:34.788Z,0.300719058,0.0794916862,-9.79725614,0.000378497114,-0.00422542522,0.0208436935
2025-09-22T07:39:34.793Z,0.295433152,0.0775283808,-9.8055358,-0.000188324335,-0.00434132743,0.0205554498
2025-09-22T07:39:34.798Z,0.291035041,0.0750321964,-9.79782405,-0.000379838603,-0.00457576066,0.0205313315
2025-09-22T07:39:34.803Z,0.294951442,0.0778119536,-9.79904246,0.000683529347,-0.00512304527,0.021203707
2025-09-22T07:39:34.808Z,0.297695819,0.0853257228,-9.81005643,0.00148979651,-0.00497834953,0.0218225269
2025-09-22T07:39:34.813Z,0.297649681,0.0868085916,-9.80831688,0.0017854923,-0.00463788305,0.0207174788
2025-09-22T07:39:34.818Z,0.296533319,0.0840960145,-9.80288262,0.00179373743,-0.00442094971,0.0196649742
2025-09-22T07:39:34.823Z,0.296580417,0.0840483917,-9.81208833,0.00230821122,-0.00492894655,0.0201671824
2025-09-22T07:39:34.828Z,0.2959856,0.0875571265,-9.81870007,0.00166273825,-0.00594962472,0.0205944417
2025-09-22T07:39:34.833Z,0.294906446,0.0877364716,-9.80947828,0.00132048663,-0.00641459471,0.0207660581
2025-09-22T07:39:34.838Z,0.29547205,0.0851788515,-9.80318887,0.00145891305,-0.00602164283,0.0204374348
2025-09-22T07:39:34.843Z,0.294546705,0.084218492,-9.80972313,0.0022765758,-0.00627731077,0.019961552
2025-09-22T07:39:34.848Z,0.296659811,0.0895137396,-9.81552942,0.00283120226,-0.00668762228,0.0200085039
2025-09-22T07:39:34.853Z,0.29796036,0.095030245,-9.80904047,0.00298524841,-0.00619461321,0.020971807
2025-09-22T07:39:34.858Z,0.296696904,0.0990091325,-9.80159843,0.00281446289,-0.00619245905,0.0216580996
2025-09-22T07:39:34.863Z,0.301160614,0.103718117,-9.8044431,0.00260863066,-0.00675266256,0.0219457938
2025-09-22T07:39:34.868Z,0.303231784,0.107457868,-9.80324588,0.00251726238,-0.00695878048,0.0215639289
2025-09-22T07:39:34.873Z,0.299369813,0.112899136,-9.79257837,0.00283919668,-0.00744003874,0.0210254897
2025-09-22T07:39:34.958Z,0.30653352,0.158571155,-9.8071394,0.00490660622,-0.00905466683,0.0239215645
2025-09-22T07:39:34.963Z,0.292321931,0.162314789,-9.79519573,0.0048761239,-0.00951444341,0.0248544295
2025-09-22T07:39:34.968Z,0.282935665,0.161022075,-9.78177052,0.00509125211,-0.0105706017,0.0257854958
